Test | Epoch: 52 | Loss: 1.887 | Acc: 64.860
Train | Epoch: 53 | Loss: 2.672 | Acc: 45.471
Test | Epoch: 53 | Loss: 1.848 | Acc: 65.960
Train | Epoch: 54 | Loss: 2.647 | Acc: 45.926
Test | Epoch: 54 | Loss: 1.847 | Acc: 66.060
Train | Epoch: 55 | Loss: 2.621 | Acc: 46.816
Test | Epoch: 55 | Loss: 1.838 | Acc: 66.160
Train | Epoch: 56 | Loss: 2.575 | Acc: 47.636
Test | Epoch: 56 | Loss: 1.844 | Acc: 66.110
Train | Epoch: 57 | Loss: 2.574 | Acc: 47.784
Test | Epoch: 57 | Loss: 1.825 | Acc: 66.820
Train | Epoch: 58 | Loss: 2.593 | Acc: 47.674
Test | Epoch: 58 | Loss: 1.839 | Acc: 67.400
Train | Epoch: 59 | Loss: 2.602 | Acc: 46.934
Test | Epoch: 59 | Loss: 1.790 | Acc: 67.390
Train | Epoch: 60 | Loss: 2.547 | Acc: 48.161
Test | Epoch: 60 | Loss: 1.782 | Acc: 68.380
Train | Epoch: 61 | Loss: 2.528 | Acc: 49.390
Test | Epoch: 61 | Loss: 1.790 | Acc: 68.070
Train | Epoch: 62 | Loss: 2.480 | Acc: 50.270
Test | Epoch: 62 | Loss: 1.771 | Acc: 68.020
Train | Epoch: 63 | Loss: 2.492 | Acc: 50.065
Test | Epoch: 63 | Loss: 1.777 | Acc: 68.470
Train | Epoch: 64 | Loss: 2.469 | Acc: 51.001
Test | Epoch: 64 | Loss: 1.762 | Acc: 68.940
Train | Epoch: 65 | Loss: 2.470 | Acc: 50.863
Test | Epoch: 65 | Loss: 1.744 | Acc: 69.010
Train | Epoch: 66 | Loss: 2.463 | Acc: 50.487
Test | Epoch: 66 | Loss: 1.744 | Acc: 69.490
Train | Epoch: 67 | Loss: 2.442 | Acc: 51.389
Test | Epoch: 67 | Loss: 1.732 | Acc: 69.380
Train | Epoch: 68 | Loss: 2.418 | Acc: 52.533
Test | Epoch: 68 | Loss: 1.743 | Acc: 69.250
Train | Epoch: 69 | Loss: 2.364 | Acc: 53.511
Test | Epoch: 69 | Loss: 1.707 | Acc: 70.250
Train | Epoch: 70 | Loss: 2.405 | Acc: 53.125
Test | Epoch: 70 | Loss: 1.712 | Acc: 70.450
Train | Epoch: 71 | Loss: 2.348 | Acc: 54.343
