Epoch,total_loss,adversarial_loss,mse_loss,ce_loss,generator_loss,discriminator_loss
1,6.689789886059969,2.209518461962185,0.4363156820044798,4.043955740111564,2.6458341448813143,0.4145658454474281
2,6.781033958010661,2.428941275552868,0.43098679646049315,3.9211058948960757,2.8599280624285988,0.35708135183509965
3,6.844187004791806,2.387256945871636,0.5526913775278784,3.9042386789151164,2.939948328544417,0.335448863256313
4,6.804490501618447,2.3802432972185144,0.5199745334780125,3.9042726803923506,2.900217829610381,0.3431717302183361
5,6.560731209757383,2.3534865316260807,0.4186758604043585,3.788568830855972,2.7721623826362287,0.33528234708644544
6,6.578624805830933,2.319453362156363,0.5172819664792332,3.741889475251708,2.8367353266157456,0.3274244861986936
7,6.494535180308935,2.331961655327121,0.47205034965444403,3.6905231771566678,2.804012005896215,0.3278326074333142
8,6.226853685915622,2.309352717893508,0.3809949398193213,3.5365060491635063,2.690347647727908,0.32626573021149696
9,6.174869359301789,2.189949398322026,0.374531142299285,3.6103888256165684,2.5644805306745004,0.38192199342086186
10,6.448648814959904,2.3525577009943746,0.4061316069968216,3.68995950715926,2.758689306123787,0.33426354166186983
11,6.401308717020332,2.3225891933111886,0.45092410100695424,3.627795425217475,2.7735132861625202,0.3275469812133428
12,6.56273992836018,2.314894430777606,0.65294774170117,3.594897753747223,2.967842184978983,0.3260030880608522
13,6.176823781884235,2.3172000846289613,0.39851882386847837,3.461104879293905,2.7157188998463817,0.32621716263958866
14,6.018871995799072,2.3071313084238936,0.38216917460684274,3.329571523324913,2.6893004700350946,0.3260942915516436
15,5.913663264735581,2.3064549777209,0.35414341717120024,3.253064882724791,2.6605983862791525,0.32575695357664164
16,5.878630558243188,2.314036795550295,0.3507703010307249,3.213823482813433,2.6648070856433392,0.3277693721644409
17,5.853259629300793,2.3111604529878367,0.3697233787735405,3.172375798835169,2.680883827721676,0.32622371823586466
18,5.770332096177904,2.30666507494724,0.384283176925786,3.079383845219527,2.690948242116767,0.3259212103341242
19,5.917633717627171,2.2874792310054346,0.37609115711715824,3.2540633202818654,2.6635703804242947,0.35289716659604436
20,6.02675721468523,2.3164393971948063,0.4651122181616781,3.2452056087801218,2.7815516116978873,0.32603200591738574
21,5.74248512931492,2.3103879644437826,0.3661969749595198,3.065900187663105,2.6765849309809067,0.32555762512604597
22,5.54185026198092,2.3070088231655035,0.3200746463311603,2.9147667924461462,2.627083464046878,0.3254368222125656
23,5.411419531878303,2.306877837766467,0.308294768109346,2.7962469301565225,2.615172602941313,0.32543189408224255
24,5.3274099753640805,2.3036877569335195,0.3145104315122375,2.7092118083363603,2.6181981828816405,0.3258370004041725
25,5.233837981967975,2.3064540112414935,0.31887592005607723,2.6085080644663643,2.6253299246663633,0.325526188706498
26,5.110552500580888,2.3062469477543743,0.3142101271149447,2.490095429713159,2.620457071172612,0.32540377936399806
27,5.0118196943531865,2.307669044760487,0.3132353127193268,2.3909153436760766,2.6209043535734993,0.3254012093519616
28,4.916570836625746,2.306904112896346,0.31464716125174863,2.2950195600004757,2.6215512709849325,0.32577106722480503
29,4.810431248086798,2.3082095402890763,0.3095930055584139,2.1926286998002427,2.6178025458474905,0.3255839566592975
30,4.704263527375048,2.305112778988031,0.3071224971881608,2.092028258554161,2.612235273546575,0.3257737081221607
31,5.01497849783934,2.244274513438687,0.35836178171055394,2.412342209492803,2.602636288041654,0.3577331583518201
32,5.106262334472383,2.3099009201044924,0.3979959856442478,2.398365433106337,2.707896896030592,0.32612683614501564
33,4.972449655118196,2.308849681368874,0.40254388372306626,2.2610560934561903,2.711393554802136,0.32569520049692724
34,4.850905728157219,2.308843111443093,0.3945265988940778,2.147536032644989,2.7033696991708274,0.3250834604968195
35,4.724190557704253,2.3065479548690875,0.3878371186573487,2.029805498049997,2.694385064532385,0.3254275762516519
36,4.58708952393983,2.3052706895277018,0.37381967921238723,1.907999155771397,2.679090360851239,0.3254005655150889
37,4.455165114244232,2.308264750044059,0.345100729323714,1.8017996371249714,2.6533654699545077,0.32556089469234045
38,4.354379870092777,2.3075835345041416,0.33494094075144404,1.7118554052794377,2.6425244713683265,0.3253232345861547
39,4.26673366681999,2.3059734508509524,0.33301598797826204,1.6277442347363134,2.6389894342178577,0.32528156994858665
40,4.196916975328684,2.3076116877138766,0.3319192581317004,1.5573860312361851,2.6395309407387852,0.3249956657514548
41,4.123018443736884,2.305452816016839,0.33054396441525513,1.487021665591413,2.635996774334432,0.32531362375639894
42,4.060340426462081,2.3081795504635862,0.32983461197684794,1.4223262661558282,2.638014153751266,0.3249932346898881
43,4.070758361035906,2.2352295310172203,0.3446400449480242,1.4908887879622867,2.5798695708251063,0.35591681511200907
44,4.409034217714958,2.304173730828268,0.4176618596705634,1.687198638153808,2.7218355852014877,0.32611353600116644
45,4.180139975169736,2.305667708596915,0.3879304563297945,1.4865418192370774,2.693598154865567,0.3257256154056705
46,4.066270412691414,2.304307858962232,0.38003795249077976,1.3819246202173745,2.684345796589961,0.3257858087796994
47,3.9755364491811496,2.304297066100723,0.370535279745641,1.3007041077937007,2.6748323394819296,0.32522010582182415
48,3.910169645648478,2.303159900028687,0.3621641050290574,1.2448456522906224,2.665323994043843,0.3252449700289675
49,3.851617133221053,2.306693648743203,0.35479097750485705,1.1901325248086545,2.661484614662502,0.325019960284538
50,3.7859949355235187,2.3047554971616897,0.34702476363657686,1.1342146703044471,2.6517802583592016,0.3249735614222944
51,3.737595687741819,2.3051677076408015,0.3419054196694928,1.0905225730460624,2.647073118887899,0.3255685627308038
