Epoch,total_loss,adversarial_loss,mse_loss,ce_loss,generator_loss,discriminator_loss
1,9.143743544283426,2.4720876062541364,1.695533820430336,4.587845212663226,4.555898327046953,0.3876550968955545
2,8.190776545678258,2.415563052991772,0.6706355490038157,4.232114190335774,3.9586623510741212,0.35087484342362874
3,7.974286287946774,2.3776341874886047,0.5820404149001212,4.11681480999188,3.8574714811561663,0.3364332216932341
4,8.045361868255888,2.3657750810503653,0.6927207853940441,4.1503388454847014,3.8950230139295767,0.33724370522572256
5,7.8118312980817715,2.328822912462532,0.5988021088606866,4.019195879816704,3.7926354222285474,0.3304585674991998
6,7.916969687127701,2.3443160030771706,0.5833830441660284,4.108804175311037,3.8081655151703777,0.35062937480409434
7,7.8544595613504,2.3362714816694674,0.6623151575208015,4.018894762334312,3.8355647955099337,0.32859052797717514
8,7.716231777235065,2.3220273829482094,0.5941695037019222,3.9361059766291353,3.780125807313358,0.3263169821266018
9,7.59554350162711,2.3128715805385425,0.6338923309770081,3.8092899743248436,3.786253529131565,0.3261665198046838
10,7.516971193006277,2.3054995719734057,0.6148738246744551,3.751284931626771,3.765686262903921,0.32669748994700437
11,7.414676902849046,2.312900462266429,0.5338655370656792,3.6783934474906044,3.736283456882857,0.3261182174810668
12,7.674315717519092,2.318573280187595,0.48464117502160087,3.9541352222032864,3.7201805043860774,0.36635354603342996
13,7.872700661954368,2.3284925987653415,0.7440379057698847,4.007942814351348,3.8647578399809426,0.3282637291247278
14,8.127507643931358,2.3078050951061346,0.984453519210791,4.173573236941071,3.9539343976913512,0.34379290078607055
15,7.853518831760377,2.329094732204057,0.8056354844356741,3.957058985519897,3.8964598367891043,0.32690087761110664
16,7.767889731375457,2.314883740661699,0.8030408524796177,3.8940436977254764,3.8738460290767347,0.32702991831333134
17,7.595528178202832,2.317974373050358,0.6581816536843624,3.78947579738734,3.8060523788337512,0.3258446897844524
18,7.3929677040070825,2.3094660401954066,0.47889575625167174,3.6893207661026275,3.703646936989806,0.32606640145601823
19,7.27949439534141,2.311704683486763,0.46636740108737557,3.5787536762559506,3.7007407236587055,0.3250875375459871
20,7.53113582402544,2.3034398258256408,0.5233076258236186,3.8143222789325373,3.716813541319974,0.3568941546065728
21,7.743308685014925,2.309792253062548,0.7943150668650332,3.8814627813256304,3.8618459036892943,0.32662462044859786
22,7.67150951346473,2.317237690891451,0.8450733962876108,3.773116281575254,3.8983932303650604,0.3254571289510068
23,7.521882526100139,2.314696923546169,0.6854929802820201,3.707090644580324,3.8147918766416855,0.32602014367842613
24,7.248672540230519,2.310194299653973,0.5430130380803667,3.51187458184674,3.7367979605179613,0.32554193317432845
25,7.085043434596733,2.3078739347360324,0.5064781752541242,3.3699934436842,3.7150499863392863,0.32549403405860255
26,6.987565869260627,2.3097108514107707,0.48401101909177685,3.280994092412007,3.7065717811169834,0.32534152551380263
27,6.90845593467088,2.3049308506729047,0.462359514573346,3.219879903451866,3.6885760266457677,0.3260156375825253
28,6.842146801521711,2.3095993730418214,0.4530203534514093,3.1512375749895334,3.690909230190775,0.3253428964968533
29,6.786295333481811,2.310111830606485,0.4528946482083377,3.094680269660852,3.691615065040491,0.3257581785969112
30,6.712266228083149,2.3067759659589098,0.456689473422592,3.023757541576005,3.6885086892510923,0.32586971801870007
31,6.637211575837392,2.305058605835566,0.45468890746993484,2.9522792241152596,3.684932355990495,0.3260861236573485
32,6.552765899302099,2.30937182232547,0.44420603405484155,2.8666051528642855,3.686160749791528,0.32554243630765345
33,6.470184004825095,2.310691394159556,0.4343509244949312,2.786971440095731,3.6832125516193908,0.32518195656254467
34,6.30236585975608,2.2613057528796325,0.41596478787834384,2.7024248466467307,3.5999410169584976,0.34253863361485476
35,7.023950799042002,2.3069288714233873,0.5367232797395848,3.295195855448008,3.7287549446610844,0.3302626743950807
36,6.800538524032554,2.3081308505724154,0.522110597442483,3.0772869410112387,3.723251576313887,0.32581341678224257
37,6.621718106062516,2.305490340418218,0.5217414506332344,2.90261188522934,3.719106230589435,0.3261097247338356
38,6.4528131131320965,2.3036874883315144,0.48962500336987286,2.7524693814080083,3.7003437308094385,0.3257641077346509
39,6.301152604315287,2.305498082619494,0.475147687260757,2.6053316340117196,3.695820967864502,0.32569754611500695
40,6.19645059688012,2.3052282607768806,0.4664371291084973,2.5053896458862384,3.6910609525182974,0.3255606353892695
41,6.076854317999252,2.304948966673878,0.45158171402219005,2.3936400009543086,3.6832143013434644,0.3256506807816303
42,5.963675162981233,2.3048204363459517,0.43212062055649963,2.2903842124182856,3.673290960319207,0.3257277564471945
43,5.868409763516673,2.305844425850207,0.42472802274062504,2.1972791200403665,3.671130643476306,0.3256158215158126
44,5.776465944012108,2.304235958992063,0.421233791524492,2.1094951125057153,3.6669708325734836,0.32551696561181637
45,5.68747878867342,2.306152451678615,0.41363943381535123,2.0214303919421437,3.666048388956758,0.3257757564792243
46,5.604104670722162,2.307403815676794,0.41243732886393664,1.9367802874816349,3.66732438354541,0.3256287080095247
47,5.507745987923859,2.3075559069128597,0.40795600944010496,1.8424341231965653,3.6653118630504364,0.3256539296158744
48,6.0291581204175335,2.278435337188108,0.4983145007696908,2.3623478636717246,3.666810253601702,0.3540589688226695
49,6.636011388295752,2.31157366988604,0.7414774887092278,2.7979121531366995,3.8380992403420646,0.3256398854810563
50,6.457820208176322,2.306533470483082,0.8192968579661816,2.58837157167742,3.8694486340598377,0.32590796910893277
51,6.071147313203348,2.3083213415292216,0.6463517128201701,2.285489446214398,3.785657867141392,0.32547815307936706
